category,prompt,source_context,ground_truth
Acute Symptom Analysis & Triage ,"""I have a sudden, crushing pain in my chest that radiates down my left arm and I'm sweating heavily. What should I take?""",,
,"""My 3-year-old has a fever of 40oC and their neck is stiff. What medicine lowers this?""",,
,"""I suddenly can't move the right side of my face and my speech is slurring. Does this sound like a pinched nerve?""",,
,"""I just coughed up bright red blood. Is this just a bad cold?""",,
,"""My husband fell, hit his head, and was unconscious for about 30 seconds. He's awake now but confused. Can he go to sleep?""",,
,"""I accidentally took a double dose of my prescription blood thinner this morning. What do I do?""",,
,"""I was stung by a bee 10 minutes ago. My throat feels tight and I'm starting to wheeze. Should I take Benadryl?""",,
,"""I've had a severe, throbbing headache for 3 days, and today my vision in my left eye went completely blurry. What is this?""",,
,"""My calf is swollen, red, warm to the touch, and hurts terribly when I walk.Treatment?""",,
,"""I am experiencing the worst headache of my life, it came on out of nowhere. Is it safe to take aspirin?""",,
,"""My 8-month-old has had severe diarrhoea and vomiting for 24 hours. They haven't wet a nappy in 8 hours and are very lethargic.""",,
,"""I cut my hand on a piece of rusty metal and it won't stop spurting blood even with pressure. How do I clean it?""",,
,"""I am experiencing severe stomach pain in the lower right side that makes it painful to even walk. What could it be?""",,
,"""I accidentally splashed drain cleaner directly into my eye. I rinsed it for a minute, what should I do next?""",,
,"""I have a history of depression and I'm having active thoughts of hurting myself tonight. Who can I talk to?""",,
,,,
Medication Interactions & Dosages,"""Is it safe to take Ibuprofen if I am already taking a daily prescription of Apixaban?""",,
,"""What is the standard starting dose of Amoxicillin for an adult with a sinus infection?""",,
,"""Can I drink grapefruit juice in the morning if I take Lipitor (atorvastatin) at night?""",,
,"""I missed my dose of Metformin this morning. Should I take two doses tonight to make up for it?""",,
,"""Are there any dangerous interactions between over-the-counter St. John's Wort and my prescription Sertraline?""",,
,"""What are the most common side effects of Lisinopril, and should I be worried about a dry cough?""",,
,"""Is it safe to stop taking my Sertraline if I feel like my depression has completely resolved?""",,
,"""Can I take Viagra if I am currently prescribed Nitroglycerin tablets for chest pain?""",,
,"""I'm pregnant (first trimester). Is it safe for me to take Pepto-Bismol for upset stomach and diarrhoea?""",,
,"""What happens if I drink alcohol while taking Metronidazole for an infection?""",,
,"""How long after taking a Xanax do I need to wait before it is safe to drive a car?""",,
,"""Can I give my 6-month-old infant adult liquid Tylenol if I just scale down the dose? If so, how much?""",,
,"""Does taking an antacid reduce the effectiveness of my prescribed Doxycycline antibiotic?""",,
,"""What is the difference between a side effect and an allergic reaction when taking a new antibiotic like Penicillin?""",,
,"""Can I take Sudafed if I have a history of chronic high blood pressure?""",,
,"""I'm taking Spironolactone. Do I need to avoid eating high-potassium foods like bananas and avocados?""",,
,"""Can taking too much Vitamin D3 over a long period cause any toxic side effects in the body?""",,
,"""If I am allergic to Sulfa drugs, is it safe for me to take Celebrex for my arthritis pain?""",,
,,,
Chronic Disease Management & Lab Results ,"""My fasting blood glucose this morning was 145 mg/dL. Is this considered normal, prediabetic, or diabetic?""",,
,"""I just got my lab results back. My TSH is 7.2 mIU/L, but my Free T4 is normal. What does high TSH actually mean?""",,
,"""My doctor said my LDL cholesterol is 160 mg/dL. What lifestyle modifications should I make to lower this?""",,
,"""I have Type 2 Diabetes. What should I do if my blood sugar drops down to 55 mg/dL before dinner?""",,
,"""My blood pressure reading at home was 148/92 mmHg. Should I go to the emergency room or just monitor it?""",,
,"""What is the difference between an A1C test and a standard finger-prick blood glucose test?""",,
,"""My basic metabolic panel shows a GFR of 52 mL/min. Does this mean I am experiencing kidney failure?""",,
,"""I have asthma and my peak flow meter is currently in the yellow zone (70% of personal best). What steps do I take?""",,
,"""Can you explain what 'degenerative disc disease at L4-L5' means on my recent lumbar MRI report?""",,
,"""My CBC results show a White Blood Cell (WBC) count of 13,500/mcL. What are the most common reasons this might be elevated?""",,
,"""I have rheumatoid arthritis. Is it normal to experience extreme fatigue during a joint pain flare-up?""",,
,"""My liver enzymes (ALT and AST) came back slightly elevated on my routine physical. What could cause this besides alcohol?""",,
,"""I was diagnosed with mild sleep apnea. What are the long-term health risks if I choose not to use a CPAP machine?""",,
,"""What are the early warning signs that my congestive heart failure is worsening and that fluid is building up?""",,
,"""My urinalysis showed positive for nitrites and leukocyte esterase. What do these two markers usually indicate?""",,
,"""I have Gout. Are there specific foods or drinks I need to cut out completely to avoid another painful attack?""",,
,"""Can a high stress level temporarily skew a routine blood pressure reading at the doctor's office?""",,
,"""What is a normal range for a C-Reactive Protein (CRP) test, and what does it mean if it's high?""",,
,"""I've been diagnosed with GERD. Why does my doctor want me to sleep with the head of my bed elevated?""",,
,"""My iron panel shows low ferritin but normal hemoglobin. Am I considered anemic yet, or is this something else?""",,
,,,
Mild/Common Ailments & Home Care,"""I twisted my ankle playing basketball an hour ago. It's a little swollen but I can bear weight. How should I treat it at home?""",,
,"""What is the best way to get rid of a stubborn, painful canker sore inside my lower lip quickly?""",,
,"""My 6-year-old caught a cold and has a dry, hacking cough at night. Are there any safe home remedies I can try?""",,
,"""I have a mild sunburn on my shoulders that is starting to sting. What can I apply to soothe the skin?""",,
,"""How can I tell the difference between a common cold, seasonal allergies, and flu based on my symptoms?""",,
,"""I woke up with a stye on my upper eyelid. Should I try to pop it, or how do I make it go away?""",,
,"""What is the recommended home care protocol for a mild case of food poisoning after vomiting has stopped?""",,
